phone	retailer_type	retailer_name		distribution_route	area	city
20000828883838	Restaurant	مخبز وحلواني فينو		الابراهيمية - كامب شيزار	الابراهيمية - كامب شيزار	الإسكندرية
20000828883838	Restaurant	مخبز وحلواني فينو				
20000828883838	Restaurant	مخبز وحلواني فينو		الابراهيمية - كامب شيزار		
20000828883838	Restaurant	مخبز وحلواني فينو		الابراهيمية - كامب شيزار	الابراهيمية - كامب شيزار	
201000001837	Cafe	Crazy Bar		المنصورة غرب	المنصورة غرب	المنصورة
201000001837	Cafe	Crazy Bar				
201000001837	Cafe	Crazy Bar		المنصورة غرب		
201000001837	Cafe	Crazy Bar		المنصورة غرب	المنصورة غرب	
201000025307	Restaurant	اردوور		التجمع و الرحاب	التجمع و الرحاب	القاهرة
201000025307	Restaurant	اردوور				
201000025307	Restaurant	اردوور		التجمع و الرحاب		
201000025307	Restaurant	اردوور		التجمع و الرحاب	التجمع و الرحاب	
201000059949	Restaurant	كبابجى هلا		المقطم	المقطم	القاهرة
201000059949	Restaurant	كبابجى هلا		المقطم 	المقطم	القاهرة
201000059949	Restaurant	كبابجى هلا				
201000059949	Restaurant	كبابجى هلا		المقطم		
201000059949	Restaurant	كبابجى هلا		المقطم	المقطم	
201000059949	Restaurant	كبابجى هلا		المقطم 		
201000059949	Restaurant	كبابجى هلا		المقطم 	المقطم	
201000065422	Restaurant	عم شفيق		المقطم	المقطم	القاهرة
201000065422	Restaurant	عم شفيق				
201000065422	Restaurant	عم شفيق		المقطم		
201000065422	Restaurant	عم شفيق		المقطم	المقطم	
201000069764	Restaurant	كبابجي الفتوح		الهرم	الهرم	الجيزه
201000069764	Restaurant	كبابجي الفتوح				
201000069764	Restaurant	كبابجي الفتوح		الهرم		
201000069764	Restaurant	كبابجي الفتوح		الهرم	الهرم	
201000078992	Restaurant	3al pasta		مصر الجديدة	مصر الجديدة	القاهرة
201000078992	Restaurant	3al pasta				
201000078992	Restaurant	3al pasta		مصر الجديدة		
201000078992	Restaurant	3al pasta		مصر الجديدة	مصر الجديدة	
201000082082	Restaurant	جحا		ارض اللواء	ارض اللواء	الجيزه
201000082082	Restaurant	جحا				
201000082082	Restaurant	جحا		ارض اللواء		
201000082082	Restaurant	جحا		ارض اللواء	ارض اللواء	
201000084258	Restaurant	مطعم ليموزين		مدينة نصر	مدينة نصر‎‎‎‎	القاهرة
201000084258	Restaurant	مطعم ليموزين				
201000084258	Restaurant	مطعم ليموزين		مدينة نصر		
201000084258	Restaurant	مطعم ليموزين		مدينة نصر	مدينة نصر‎‎‎‎	
201000107652	Cafe	more cafe		مصر الجديدة	مصر الجديدة	القاهرة
201000107652	Cafe	more cafe				
201000107652	Cafe	more cafe		مصر الجديدة		
201000107652	Cafe	more cafe		مصر الجديدة	مصر الجديدة	
201000114896	Restaurant	لذيذ 		الدقي	الدقي	الجيزه
201000114896	Restaurant	لذيذ 				
201000114896	Restaurant	لذيذ 		الدقي		
201000114896	Restaurant	لذيذ 		الدقي	الدقي	
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور	بولاق الدكرور	الجيزه
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور	فيصل	الجيزه
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور 	بولاق الدكرور	الجيزه
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور (التوزيعة الجديدة)	بولاق الدكرور	الجيزه
201000119766	Restaurant	كشرى سيطرة				
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور		
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور	بولاق الدكرور	
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور	فيصل	
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور 		
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور 	بولاق الدكرور	
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور (التوزيعة الجديدة)		
201000119766	Restaurant	كشرى سيطرة		بولاق الدكرور (التوزيعة الجديدة)	بولاق الدكرور	
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	الزيتون	القاهرة
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	عين شمس	القاهرة
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	مدينة المستقبل	القاهرة
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	مصر الجديدة	القاهرة
201000130301	Restaurant	مطعم و كافيه البارون				
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة		
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	الزيتون	
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	عين شمس	
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	مدينة المستقبل	
201000130301	Restaurant	مطعم و كافيه البارون		مصر الجديدة	مصر الجديدة	
201000153559	Cafe	كافينو كافيه		مصر الجديدة	مصر الجديدة	القاهرة
201000153559	Cafe	كافينو كافيه				
201000153559	Cafe	كافينو كافيه		مصر الجديدة		
201000153559	Cafe	كافينو كافيه		مصر الجديدة	مصر الجديدة	
201000153800	Restaurant	oh Crepe		المقطم	المقطم	القاهرة
201000153800	Restaurant	oh Crepe				
201000153800	Restaurant	oh Crepe		المقطم		
201000153800	Restaurant	oh Crepe		المقطم	المقطم	
201000182255	Restaurant	مطعم vipالمدينه		6 اكتوبر	6 اكتوبر	الجيزه
201000182255	Restaurant	مطعم vipالمدينه				
201000182255	Restaurant	مطعم vipالمدينه		6 اكتوبر		
201000182255	Restaurant	مطعم vipالمدينه		6 اكتوبر	6 اكتوبر	
